iter	Passed	Remaining
0	90	360617
1	153	306267
2	215	287065
3	278	277830
4	317	253347
5	347	231208
6	387	221118
7	418	209022
8	461	204603
9	494	197349
10	533	193583
11	578	192198
12	632	193941
13	677	192776
14	752	199994
15	803	200064
16	855	200449
17	900	199320
18	943	197617
19	968	192638
20	1023	194000
21	1095	198062
22	1149	198728
23	1194	197949
24	1263	200889
25	1316	201187
26	1363	200628
27	1419	201335
28	1474	201933
29	1539	203785
30	1595	204328
31	1633	202587
32	1689	203047
33	1734	202348
34	1781	201769
35	1835	202149
36	1897	203264
37	1948	203137
38	1999	203068
39	2045	202513
40	2105	203313
41	2175	205043
42	2240	206214
43	2301	206921
44	2354	206937
45	2410	207171
46	2466	207462
47	2525	207939
48	2576	207757
49	2633	208040
50	2675	207155
51	2735	207721
52	2790	207827
53	2838	207394
54	2887	207102
55	2931	206469
56	2984	206451
57	3055	207687
58	3107	207574
59	3170	208204
60	3219	207920
61	3273	207905
62	3330	208137
63	3365	207007
64	3403	206047
65	3462	206374
66	3525	206952
67	3566	206211
68	3618	206139
69	3665	205797
70	3730	206419
71	3782	206333
72	3845	206858
73	3913	207617
74	3966	207598
75	4034	208322
76	4092	208518
77	4154	208897
78	4208	208877
79	4258	208674
80	4313	208693
81	4379	209252
82	4426	208896
83	4499	209744
84	4542	209231
85	4620	210298
86	4673	210205
87	4732	210360
88	4786	210348
89	4830	209841
90	4879	209601
91	4939	209807
92	5004	210263
93	5068	210617
94	5125	210676
95	5187	210954
96	5221	210095
97	5259	209429
98	5295	208679
99	5352	208765
100	5397	208369
101	5460	208689
102	5504	208244
103	5546	207785
104	5595	207554
105	5652	207652
106	5707	207643
107	5765	207765
108	5819	207754
109	5877	207834
110	5918	207365
111	5962	206981
112	6048	208046
113	6101	207990
114	6163	208226
115	6200	207615
116	6250	207428
117	6305	207433
118	6352	207186
119	6409	207233
120	6455	206963
121	6526	207469
122	6580	207431
123	6644	207684
124	6710	208024
125	6772	208225
126	6836	208490
127	6883	208212
128	6930	207965
129	6988	208047
130	7045	208078
131	7105	208216
132	7150	207899
133	7211	208058
134	7276	208317
135	7322	208046
136	7379	208086
137	7426	207822
138	7483	207872
139	7542	207967
140	7592	207800
141	7645	207728
142	7707	207882
143	7764	207913
144	7812	207716
145	7877	207941
146	7949	208366
147	8006	208384
148	8061	208356
149	8123	208511
150	8186	208675
151	8243	208683
152	8297	208622
153	8354	208657
154	8398	208343
155	8431	207752
156	8477	207505
157	8530	207437
158	8579	207250
159	8643	207447
160	8699	207429
161	8749	207291
162	8811	207433
163	8877	207647
164	8943	207865
165	8997	207809
166	9066	208099
167	9125	208146
168	9185	208214
169	9246	208319
170	9306	208381
171	9340	207876
172	9387	207669
173	9442	207624
174	9498	207620
175	9559	207707
176	9623	207850
177	9668	207599
178	9710	207278
179	9762	207179
180	9819	207182
181	9863	206915
182	9962	207804
183	10049	208427
184	10130	208906
185	10205	209261
186	10276	209545
187	10335	209575
188	10406	209846
189	10477	210093
190	10536	210131
191	10590	210045
192	10632	209735
193	10686	209647
194	10754	209856
195	10799	209594
196	10863	209711
197	10924	209763
198	10971	209562
199	11029	209555
200	11080	209424
201	11139	209443
202	11188	209274
203	11250	209344
204	11311	209403
205	11357	209183
206	11421	209288
207	11485	209395
208	11540	209334
209	11596	209288
210	11663	209449
211	11734	209675
212	11784	209521
213	11857	209769
214	11909	209669
215	11960	209523
216	12022	209595
217	12084	209646
218	12154	209846
219	12217	209916
220	12278	209963
221	12319	209645
222	12365	209430
223	12425	209463
224	12474	209295
225	12521	209094
226	12574	209009
227	12636	209055
228	12702	209180
229	12751	209008
230	12815	209100
231	12869	209011
232	12931	209072
233	13000	209234
234	13060	209241
235	13104	209013
236	13176	209214
237	13242	209319
238	13288	209120
239	13357	209260
240	13441	209648
241	13498	209610
242	13562	209691
243	13620	209670
244	13695	209896
245	13751	209850
246	13794	209595
247	13854	209606
248	13900	209397
